Region,District, 0-28 DAYS FEMALE ,0-28 DAYS MALE,0-28 DAYS TOTAL,10-19 YEARS FEMALE ,10-19 YEARS MALE ,10-19YRS TOTAL,20+ YRS FEMALE,20+ YRS MALE ,20+ YRS TOTAL,5-9YRS FEMALE,5-9YRS MALE,5-9YRS TOTAL,29 DAYS-4YRS FEMALE,29DAYS - 4YRS MALE,29 DAYS - 4YRS TOTAL,0-28 DAYS (B/S & RDT) FEMALE,0-28 DAYS (B/S & RDT) MALE ,0-28 DAYS  (B/S & RDT) TOTAL,10-19 YRS (B/S & RDT) FEMALE ,10-19 YRS (B/S & RDT) MALE ,10-19 YRS  (B/S & RDT) TOTAL,20+  (B/S &RDT) FEMALE, 20+ (B/S & RDT) MALE ,20 + (B/S & RDT) TOTAL,29DAYS-4YRS (B/S & RDT) FEMALE ,29DAYS-4YRS (B/S & RDT) MALE  ,29DAYS-4 YRS  (B/S & RDT) TOTAL,5-9YRS (B/S & RDT) FEMALE ,5-9YRS (B/S & RDT) MALE ,5-9YRS (B/S & RDT) TOTAL,0-28 DAYS FEMALE CT,0-28 DAYS MALE  CT,0-28 DAYS TOTAL CT,10-19 YRS FEMALE CT,10-19 YRS MALE  CT,10-19 YRS CT TOTAL,20 + YRS FEMALE CT,20 + YRS  MALE CT,20 + YRS CT TOTAL,29DAYS - 4YRS FEMALE CT,29 DAYS - 4YRS MALE CT,29 DAYS - 4YRS  CT TOTAL,5-9YRS FEMALE CT,5-9YRS MALE CT,5-9YRS CT TOTAL,PREG 10-19YRS,PREG 20 + YRS,TOTAL PREG,TOTAL CASES  FEMALE,TOTAL CASES  MALE,GRAND TOTAL CASES,<5YRS FEMALES TOTAL  ,<5YRS MALE TOTAL,< 5YRS GRAND TOTAL,POPULATION IN 2014,POPULATION IN 2024,AREA(Km2),ANNUAL GROWTH RATE[Pt​=P0​×(1+r)t],TOTAL POPULATION,POPULATION DENSITY(People per km2),CORDINATES (LATITUDE ° N),CORDINATES (LONGITUDE ° E)
Karamoja,Abim District,6,7,13,16161,9062,25223,16507,8054,24561,9159,7466,16625,16596,15192,31788,6,7,13,15941,8960,24901,16012,7903,23915,16378,14986,31364,9108,7364,16472,6,7,13,15519,8695,24214,15792,7814,23606,16100,14701,30801,8892,7150,16042,666,1106,1772,41833,39781,81614,16602,15199,31801,107966,144084,2301,1.029278437,128376.1239,55.79144888,2.7067,33.6595
Acholi,Acholi,316,338,654,365422,214763,580185,456269,123147,579416,174675,139233,313908,195330,185351,380681,240,346,586,354788,208230,563018,306889,113844,420733,188319,178319,366638,169672,134902,304574,243,404,647,349646,207335,556981,303590,111847,415437,199045,176002,375047,167445,132943,300388,10653,20859,31512,996682,662832,1659514,195646,185689,381335,1500762,2044355,28522,1.031393639,1806585.489,63.34007043,,
West Nile,Adjumani District,14,10,24,68996,51991,120987,60160,28387,88547,39961,33652,73613,44368,43281,87649,20,8,28,66330,49125,115455,56705,27383,84088,42505,42053,84558,38666,32191,70857,10,7,17,63988,47276,111264,53973,26342,80315,41805,39693,81498,37330,121192,158522,1519,3234,4753,169131,157321,326452,44382,43291,87673,107966,144084,2301,1.029278437,128376.1239,55.79144888,3.2549,31.7195
Acholi,Agago District,46,66,112,66256,39123,105379,58935,20260,79195,31103,23984,55087,34995,32884,67879,44,64,108,65144,38505,103649,57225,19666,76891,34509,32382,66891,30715,23654,54369,44,203,247,64246,38048,102294,56111,19373,75484,34253,31917,66170,30185,23291,53476,1379,2835,4214,156340,116317,272657,35041,32950,67991,227792,307235,3493,1.03037004,272582.3933,78.0367573,2.9251, 33.3486
Lango,Alebtong District,3,5,8,7110,3851,10961,9974,3515,13489,3936,3217,7153,4529,4269,8798,2,4,6,7103,3842,10945,9932,3491,13423,4548,4271,8819,3955,3232,7187,2,3,5,6967,3819,10786,9867,3455,13322,4503,4243,8746,3932,3214,7146,358,698,1056,21023,14857,35880,4532,4274,8806,227541,283509,1534,1.022234935,259635.4412,169.253873,2.2914,33.2139
Lango,Amolatar District,0,0,0,8194,5035,13229,9912,4633,14545,4170,3657,7827,3888,3812,7700,0,0,0,8101,4999,13100,9604,4548,14152,3789,3721,7510,4154,3645,7799,0,0,0,7932,4932,12864,9420,4431,13851,3717,3669,7386,4089,3578,7667,310,567,877,22276,17137,39413,3888,3812,7700,147166,188715,1163,1.025179454,170846.7994,146.9018051,1.6054,32.8084
Karamoja,Amudat District,8,5,13,3393,2496,5889,5021,1883,6904,3100,2837,5937,4398,4221,8619,7,5,12,3315,2450,5765,4661,1814,6475,4306,4131,8437,3021,2798,5819,117,5,122,3081,2275,5356,4305,1639,5944,3999,3791,7790,2826,2618,5444,109,351,460,11522,11442,22964,4406,4226,8632,105769,203358,1616,1.067555067,156566.9591,96.88549447,1.7916,34.9066
Teso,Amuria District,25,16,41,29332,13402,42734,28794,9516,38310,14675,10605,25280,14631,13490,28121,18,11,29,29204,13284,42488,28411,9416,37827,14521,13353,27874,14628,10543,25171,16,11,27,27816,12465,40281,26605,8870,35475,13551,12556,26107,13665,9886,23551,1108,2364,3472,72826,47029,119855,14656,13506,28162,183348,251653,1383,1.032173235,221713.2959,160.3133014,2.0302,33.6428
Acholi,Amuru District,33,30,63,37953,20401,58354,162960,12131,175091,17700,13944,31644,21552,20437,41989,31,29,60,37394,20262,57656,32532,11886,44418,21450,20254,41704,17640,13880,31520,31,29,60,36832,22016,58848,31881,11851,43732,21180,20008,41188,17416,13709,31125,1290,2235,3525,218646,66943,285589,21585,20467,42052,186696,247574,3619,1.028624826,221144.9495,61.10664534,3.1042,32.0837
Ankole,Ankole,132,117,249,91896,75326,167222,145190,97333,242523,46632,40424,87056,43372,39014,82386,117,101,218,87663,72075,159738,134654,90194,224848,40868,36806,77674,44096,38113,82209,103,80,183,84882,69892,154774,131834,87036,218870,39664,35677,75341,42693,36898,79591,1439,4481,5920,283850,252214,536064,43504,39131,82635,2895631,3608968,15067,1.022266152,3304662.45,219.3311509,,
