Region,District , 0-28 DAYS FEMALE ,0-28 DAYS MALE,0-28 DAYS TOTAL,10-19 YEARS FEMALE,10-19 YEARS MALE ,10-19 YRS TOTAL,20+ YRS FEMALE,20+ YRS MALE ,20+ YRS TOTAL,5-9YRS FEMALE,5-9YRS MALE,5-9YRS TOTAL,29 DAYS-4YRS FEMALE,29DAYS-4YRS MALE,29 DAYS - 4YRS TOTAL,0-28 DAYS (B/S & RDT) FEMALE ,0-28 DAYS (B/S & RDT) MALE ,0-28 DAYS  (B/S & RDT) TOTAL,10-19 YRS (B/S & RDT) FEMALE ,10-19 YRS (B/S & RDT) MALE,10-19 YRS  (B/S & RDT) TOTAL, 20+  (B/S &RDT) FEMALE , 20+  (B/S &RDT) MALE ,20 + (B/S & RDT) TOTAL,29DAYS-4YRS (B/S & RDT) FEMALE ,29DAYS-4YRS (B/S & RDT) MALE  ,29DAYS-4 YRS  (B/S & RDT) TOTAL,5-9YRS (B/S & RDT) FEMALE ,5-9YRS (B/S & RDT) MALE ,5-9YRS (B/S & RDT) TOTAL,0-28 DAYS FEMALE CT,0-28 DAYS MALE  CT,0-28 DAYS TOTAL CT,10-19 YRS FEMALE CT,10-19 YRS MALE CT,10-19 YRS CT TOTAL,20 + YRS FEMALE CT,20 + YRS  MALE CT,20 + YRS CT TOTAL,29DAYS - 4YRS FEMALE CT,29 DAYS - 4YRS MALE CT,29 DAYS - 4YRS  CT TOTAL,5-9YRS FEMALE CT,5-9YRS MALE CT,5-9YRS CT TOTAL,PREG 10-19YRS,PREG 20 + YRS,TOTAL PREG,TOTAL CASES  FEMALE,TOTAL CASES  MALE,GRAND TOTAL CASES,<5YRS FEMALES TOTAL  ,<5YRS MALE TOTAL,< 5YRS GRAND TOTAL,POPULATION IN 2014,POPULATION IN 2024,AREA(Km2),ANNUAL GROWTH RATE[Pt​=P0​×(1+r)t],TOTAL POPULATION,POPULATION DENSITY(People per km2),CORDINATES (LATITUDE ° N),CORDINATES (LONGITUDE ° E)
Karamoja,Abim District,2,5,7,13939,6695,20634,15856,7109,22965,7006,5270,12276,15415,13468,28883,2,5,7,5,6564,6569,15352,6805,22157,14961,13081,28042,6903,5160,12063,2,4,6,13325,6427,19752,119726,268332,388058,14589,12773,27362,6710,5033,11743,674,1323,1997,52218,32547,84765,16598,13473,30071,107966,144084,2301,1.029278437,132134.7761,57.42493529,2.7067,33.6595
Acholi,Acholi,368,310,678,246462,132169,378631,228667,82226,310893,112043,87522,199565,131628,124808,256436,234,190,424,190,126860,127050,207769,73865,281634,124793,118285,243078,106957,83803,190760,225,189,414,235560,126902,362462,1593428,3410028,5003456,126070,118347,244417,106912,83896,190808,8552,17185,25737,719168,427035,1146203,195698,125118,320816,1500762,2044355,28522,1.031393639,1863300.782,65.32854577,,
West Nile,Adjumani District,24,15,39,63279,44827,108106,60259,26891,87150,37122,29949,67071,45284,42358,87642,12,13,25,13,43442,43455,56951,25619,82570,43590,40939,84529,35920,29501,65421,12,12,24,61216,43362,104578,509104,1050410,1559514,43501,40583,84084,35651,28580,64231,1226,3460,4686,205968,144040,350008,44392,42373,86765,107966,144084,2301,1.029278437,132134.7761,57.42493529,3.2549,31.7195
Acholi,Agago District,25,21,46,40202,20974,61176,38604,11565,50169,16133,12026,28159,18736,17591,36327,19,19,38,19,20462,20481,36406,11134,47540,18095,17080,35175,15710,11723,27433,18,19,37,38999,20410,59409,244108,519974,764082,18492,17124,35616,15620,11751,27371,1154,2459,3613,113700,62177,175877,35020,17612,52632,227792,307235,3493,1.03037004,280860.7314,80.40673672,2.9251, 33.3486
Lango,Alebtong District,50,32,82,18176,8163,26339,24600,6883,31483,11431,8883,20314,15520,14135,29655,50,32,82,32,8111,8143,24420,6816,31236,15491,14097,29588,11399,8848,20247,49,32,81,17935,8038,25973,151778,325287,477065,15231,13818,29049,11292,8757,20049,1121,2262,3383,69777,38096,107873,4579,14167,18746,227541,283509,1534,1.022234935,265408.4183,173.0172218,2.2914,33.2139
Lango,Amolatar District,3,5,8,13572,8032,21604,15140,6861,22001,7990,7019,15009,7601,7285,14886,3,5,8,5,8032,8037,15040,6860,21900,7601,7275,14876,7990,7019,15009,3,5,8,13364,7951,21315,102416,212663,315079,7536,7213,14749,7928,6953,14881,430,818,1248,44306,29202,73508,3891,7290,11181,147166,188715,1163,1.025179454,175148.6284,150.6007123,1.6054,32.8084
Karamoja,Amudat District,11,3,14,2942,2409,5351,5239,2181,7420,2678,2342,5020,4487,4121,8608,10,1,11,1,2321,2322,4664,2024,6688,4294,3925,8219,2608,2296,4904,10,1,11,2722,2311,5033,36334,84069,120403,4181,3853,8034,2586,2266,4852,163,368,531,15357,11056,26413,4409,4124,8533,105769,203358,1616,1.067555067,167143.8505,103.4306006,1.7916,34.9066
Teso,Amuria District,25,20,45,19750,8627,28377,19801,6933,26734,8714,6137,14851,7704,7397,15101,23,18,41,18,8566,8584,19399,6857,26256,7575,7288,14863,8636,6107,14743,23,18,41,19209,8450,27659,114612,247488,362100,7498,7200,14698,8536,6020,14556,728,1326,2054,55994,29114,85108,14656,7417,22073,183348,251653,1383,1.032173235,228846.53,165.471099,2.0302,33.6428
Acholi,Amuru District,11,11,22,26380,13275,39655,24407,9129,33536,12013,9420,21433,14648,13927,28575,11,10,21,10,12986,12996,22529,8402,30931,14178,13478,27656,11757,9150,20907,10,10,20,25104,12815,37919,173004,368167,541171,13974,13297,27271,11640,9050,20690,768,1352,2120,77459,45762,123221,21563,13938,35501,186696,247574,3619,1.028624826,227475.1853,62.85581245,3.1042,32.0837
Ankole,Ankole,109,81,190,76663,61300,137963,128784,80583,209367,36623,30960,67583,35235,32390,67625,85,58,143,58,58828,58886,117923,73939,191862,32967,30226,63193,34958,29330,64288,79,55,134,70604,57177,127781,510792,1271023,1781815,32654,30019,62673,34148,28677,62825,1298,4247,5545,277414,205314,482728,43481,32471,75952,2895631,3608968,15067,1.022266152,3378244.568,224.2148117,,
